origin_stop_id,reachable_stop_id,walking_time
at:47:61017:0,at:47:61018:0,0 days 00:00:54.619329600
at:47:61017:0,at:47:61019:0,0 days 00:03:26.055057600
at:47:61017:0,at:47:61032:0,0 days 00:03:47.272986
at:47:61017:0,at:47:61033:0,0 days 00:02:33.699325200
at:47:61017:0,at:47:64893:0,0 days 00:04:15.368142
at:47:61018:0,at:47:61016:0,0 days 00:02:53.483737200
at:47:61018:0,at:47:61017:0,0 days 00:00:54.619329600
at:47:61018:0,at:47:61019:0,0 days 00:03:47.788480800
at:47:61018:0,at:47:61032:0,0 days 00:04:38.204184
at:47:61018:0,at:47:61033:0,0 days 00:03:24.540706800
at:47:61018:0,at:47:64893:0,0 days 00:04:06.606958800
at:47:61018:0,at:47:64894:0,0 days 00:04:42.042824400
at:47:61019:0,at:47:61017:0,0 days 00:03:26.055057600
at:47:61019:0,at:47:61018:0,0 days 00:03:47.788480800
at:47:61019:0,at:47:61032:0,0 days 00:03:03.534242400
at:47:61019:0,at:47:61033:0,0 days 00:02:35.191906800
at:47:61019:0,at:47:64893:0,0 days 00:02:15.670334400
at:47:61019:0,at:47:68058:0,0 days 00:02:39.076065600
at:47:61020:0,at:47:64896:0,0 days 00:02:05.638617600
at:47:61021:0,at:47:61034:0,0 days 00:03:32.877532800
at:47:61021:0,at:47:62508:0,0 days 00:04:10.494458400
at:47:61021:0,at:47:62509:0,0 days 00:02:58.295014800
at:47:61021:0,at:47:64890:0,0 days 00:03:25.041405600
at:47:61021:0,at:47:67043:0,0 days 00:04:23.625598799
at:47:61021:0,at:47:67053:0,0 days 00:04:15.555090
at:47:61022:0,at:47:61013:0,0 days 00:02:11.300604
at:47:61022:0,at:47:61023:0,0 days 00:02:45.195288
at:47:61022:0,at:47:61025:0,0 days 00:04:50.491279200
at:47:61022:0,at:47:62508:0,0 days 00:03:04.360640400
at:47:61022:0,at:47:64891:0,0 days 00:02:08.327097600
at:47:61023:0,at:47:61013:0,0 days 00:02:19.051929600
at:47:61023:0,at:47:61022:0,0 days 00:02:45.195288
at:47:61023:0,at:47:61025:0,0 days 00:04:19.665793200
at:47:61023:0,at:47:64891:0,0 days 00:03:41.375120400
at:47:61025:0,at:47:61013:0,0 days 00:02:41.534552400
at:47:61025:0,at:47:61022:0,0 days 00:04:50.491279200
at:47:61025:0,at:47:61023:0,0 days 00:04:19.665793200
at:47:61025:0,at:47:67043:0,0 days 00:02:57.254582400
at:47:61026:0,at:47:64899:0,0 days 00:03:35.567276400
at:47:61027:0,at:47:62148:0,0 days 00:02:22.787916
at:47:61029:0,at:47:64900:0,0 days 00:01:36.197065200
at:47:61031:0,at:47:64901:0,0 days 00:04:06.740331600
at:47:61031:0,at:47:68182:0,0 days 00:04:36.272679600
at:47:61032:0,at:47:61017:0,0 days 00:03:47.272986
at:47:61032:0,at:47:61018:0,0 days 00:04:38.204184
at:47:61032:0,at:47:61019:0,0 days 00:03:03.534242400
at:47:61032:0,at:47:61033:0,0 days 00:01:13.706162400
at:47:61032:0,at:47:68058:0,0 days 00:03:53.121221999
at:47:61033:0,at:47:61017:0,0 days 00:02:33.699325200
at:47:61033:0,at:47:61018:0,0 days 00:03:24.540706800
at:47:61033:0,at:47:61019:0,0 days 00:02:35.191906800
at:47:61033:0,at:47:61032:0,0 days 00:01:13.706162400
at:47:61033:0,at:47:64893:0,0 days 00:04:35.342562
at:47:61033:0,at:47:68058:0,0 days 00:04:15.375288
at:47:61034:0,at:47:61021:0,0 days 00:03:32.877532800
at:47:61034:0,at:47:67043:0,0 days 00:02:54.253453200
at:47:61034:0,at:47:67053:0,0 days 00:02:07.836792
at:47:61035:0,at:47:66133:0,0 days 00:01:48.760071600
at:47:61037:0,at:47:61038:0,0 days 00:02:05.311762800
at:47:61037:0,at:47:61039:0,0 days 00:02:32.475022800
at:47:61037:0,at:47:61040:0,0 days 00:04:03.270741600
at:47:61037:0,at:47:62218:0,0 days 00:04:42.512484
at:47:61037:0,at:47:64782:0,0 days 00:01:46.918275600
at:47:61037:0,at:47:64853:0,0 days 00:03:56.559049200
at:47:61038:0,at:47:61037:0,0 days 00:02:05.311762800
at:47:61038:0,at:47:61039:0,0 days 00:01:04.938715200
at:47:61038:0,at:47:61040:0,0 days 00:03:13.399473600
at:47:61038:0,at:47:62218:0,0 days 00:02:37.209624
at:47:61038:0,at:47:64661:0,0 days 00:02:59.744083200
